Name,Succ,Fail,Send Rate (TPS),Max Latency (s),Min Latency (s),Avg Latency (s),Throughput (TPS),Time
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
samplecc test,16964,0,282.8,2.52,0.04,0.55,274.3,Fri Apr 16 16:59:45 CST 2021
